순위,mean,ISBN,상품명,저자,출판사,설명,관리분류,top_topic,topic_dist,topic_words,topic_dict,IMAGE,판매가
47.0,47.0,9788901247656,사탕 트리,백유연,웅진주니어,찬 바람 불기 시작 동물 친구 겨울 준비 크리스마스트리 솔방울 나뭇잎 도토리 장식 여기 고라니 아주 선물 준비 크리스마스 아침,유아,20.0,"[(20, 0.35187438130378723), (15, 0.3196243643760681), (21, 0.07073233276605606), (10, 0.0638522133231163)]",아이 그림책 엄마 친구 어린이,"{20: 0.35187438130378723, 15: 0.3196243643760681, 21: 0.07073233276605606, 10: 0.0638522133231163}",https://shopping-phinf.pstatic.net/main_3246403/32464037022.20221019143147.jpg,"11,700원"
45.0,21.1,9788901248882,"우연히, 웨스 앤더슨",월리 코발 /김희진,웅진지식하우스,웨스 앤더슨 월드 안내 초감각 렌즈 이자 초대장 오감 충족 대리 만족 구석 세계 여행 카이 빙 작전 세계 인스타그램 트렌드 주목 계정 내용 엮 월리 코발 도 웨스 앤더슨 영화 장소 사진 보고 영감 채널 코로나 이슈 여행 사람 대리 만족 참여 유도 현재 로어 일주일 실시간 늘 웨스 앤더슨 감독 작품 한눈 색감 미학 감수성 장르 예술 디자인 인테리어 영향 웨스 앤더슨 터치 세계 발견 프로젝트 이자 여행 초대장,예술,6.0,"[(6, 0.188089057803154), (29, 0.1874653548002243), (15, 0.15572308003902435), (1, 0.12626098096370697)]",여행지 서울 제주 정보 지도,"{6: 0.188089057803154, 29: 0.1874653548002243, 15: 0.15572308003902435, 1: 0.12626098096370697}",https://shopping-phinf.pstatic.net/main_3247706/32477068780.20221227203030.jpg,"26,100원"
45.0,21.1,9788901248882,"우연히, 웨스 앤더슨",월리 코발 /김희진,웅진지식하우스,웨스 앤더슨 월드 안내 초감각 렌즈 이자 초대장 오감 충족 대리 만족 구석 세계 여행 카이 빙 작전 세계 인스타그램 트렌드 주목 계정 내용 엮 월리 코발 도 웨스 앤더슨 영화 장소 사진 보고 영감 채널 코로나 이슈 여행 사람 대리 만족 참여 유도 현재 로어 일주일 실시간 늘 웨스 앤더슨 감독 작품 한눈 색감 미학 감수성 장르 예술 디자인 인테리어 영향 웨스 앤더슨 터치 세계 발견 프로젝트 이자 여행 초대장,예술,6.0,"[(6, 0.188089057803154), (29, 0.1874653548002243), (15, 0.15572308003902435), (1, 0.12626098096370697)]",여행지 서울 제주 정보 지도,"{6: 0.188089057803154, 29: 0.1874653548002243, 15: 0.15572308003902435, 1: 0.12626098096370697}",https://shopping-phinf.pstatic.net/main_3247706/32477068780.20221227203030.jpg,"26,100원"
18.0,18.0,9788901251226,친구의 전설,이지은,웅진주니어,팥빙수 전설 치명 전설 팥빙수 전설 여름 겨울 팥빙수 열풍 이지은 전설 문 거 한마디 위협 던 호랑이 시종일관 길 재촉 할머니 케미 소식 갑자기 몸 누군가 무조건 둘 기분 친구 전설 동네 성격 호랑이 호랑이 꼬리 운명 꼬리 꽃 거 동네 구석구석 돌 괜 위협 말썽 일삼 호랑이 호랑이 이웃 으레 자리 피 호랑이 늘 뒷모습 표정,유아,20.0,"[(20, 0.5090298652648926), (1, 0.14400160312652588), (15, 0.11195268481969833), (25, 0.08344896137714386)]",아이 그림책 엄마 친구 어린이,"{20: 0.5090298652648926, 1: 0.14400160312652588, 15: 0.11195268481969833, 25: 0.08344896137714386}",https://shopping-phinf.pstatic.net/main_3243631/32436319111.20221019151126.jpg,"12,600원"
65.0,41.7,9788901251868,약속의 땅,버락 오바마/노승영,웅진지식하우스,역대 대통령 회고록 최 선인 첫날 예약판매 즉시 종합 언어 계약 여러 세계 화 제작 미국 제 대통령 버락 오바마 회고록 약속 땅 한국어 미국 흑인 대통령 백악관 입성 과정 임기 반 분투 사실,사회 정치,28.0,"[(28, 0.4301016628742218), (17, 0.24930702149868011), (15, 0.15977470576763153), (5, 0.07448293268680573)]",미국 음악 기념 클래식 올해,"{28: 0.4301016628742218, 17: 0.24930702149868011, 15: 0.15977470576763153, 5: 0.07448293268680573}",https://shopping-phinf.pstatic.net/main_3246710/32467103719.20221019114512.jpg,"29,700원"
12.0,42.8,9788901254517,고립의 시대,노리나 허츠/홍정인,웅진지식하우스,애덤 그랜트 아리아나 허핑턴 추천 와이어 드 데 일리 텔레 그래프 올해 홀로 생쥐 친구 생쥐 고립 생쥐 침입 공격 세계 정치 경제학자 노리 허츠 스마트폰 도시 비대 시스템 감시 노동 채 세기 현대인 소통 본능 생쥐 처럼 서로 공격 외로움 고립 개인 사회 소외 배제 양극화 정치 주의 내몬다 시대 외로움 사회 경제 비용 밀도 분석 영국 당시 언론 찬사 고립 시대 투표 소통 방식 무너 리 고립 사회 근원,사회 정치,13.0,"[(13, 0.4672154188156128), (28, 0.12275698035955429), (21, 0.1067829504609108), (10, 0.05324392020702362)]",사회 시대 주의 정치 문화,"{13: 0.4672154188156128, 28: 0.12275698035955429, 21: 0.1067829504609108, 10: 0.05324392020702362}",https://shopping-phinf.pstatic.net/main_3247269/32472698492.20221019142642.jpg,"19,800원"
68.0,39.1,9788901256603,코드 브레이커,월터 아이작슨/조은영,웅진지식하우스,스티브 잡스 월터 아이작 슨 신작 바이러스 전쟁 인류 구한 여성 노벨 화학상 수상자 제니퍼 우드 공식 전기 즉시 종합 뉴욕 타임스 게이츠 강력 추천 올해 타임 워싱턴 포스트 세계 스티브 잡스 월터 아이작 슨 신작 코드 브레이커 노벨 화학상 수상자 이자 크리스 퍼 유전자 편집 기술 선구자 세계 여성 과학자 제니퍼 우드 삶 밀도 우드 시절 여자 무슨 과학 업신여김 포기 연구자 길 프랑스 미생물학자 에마뉘엘 샤르팡티에 협업 박테리아 바이러스 로부터 방어 후천 면역체계 크리스 퍼 시스템 작동 메커니즘 세계 규명,자연과학,16.0,"[(16, 0.3077896237373352), (28, 0.19426874816417694), (24, 0.07869049161672592), (9, 0.07782020419836044)]",과학 뇌 우주 인간 연구,"{16: 0.3077896237373352, 28: 0.19426874816417694, 24: 0.07869049161672592, 9: 0.07782020419836044}",https://shopping-phinf.pstatic.net/main_3247666/32476660201.20221019145643.jpg,"21,600원"
29.0,19.4,9788901258577,농부 달력,김선진,웅진주니어,가정 건강 행복 기원 농부 부부 꽉 찬 농부 달력 농부 달력 농부 부부 관찰 추억 그린 척척 옥희 할머니 농사일 음식 솜씨 또한 예술 쑥 쑥버 무리 봄 겉절이 상추 훌쩍 상추 겉절이 돼지 상추 쌈 부추 오이 오이 냉국 오이 레시피 그날그날 밭 작물 시나 브로 군침 도 상 뚝딱 내지 옥희 할머니 최애 의상 계절 색색 꽃 무늬 몸뻬 바지 의상 컬렉션 볼 할머니 영배 할아버지 읍내 멋쟁이,유아,20.0,"[(20, 0.30285319685935974), (15, 0.16582348942756653), (26, 0.12166192382574081), (21, 0.09684552997350693)]",아이 그림책 엄마 친구 어린이,"{20: 0.30285319685935974, 15: 0.16582348942756653, 26: 0.12166192382574081, 21: 0.09684552997350693}",https://shopping-phinf.pstatic.net/main_3248554/32485542865.20221019143149.jpg,"12,600원"
25.0,19.6,9788901259703,나의 투자는 새벽 4시에 시작된다,유목민,리더스북,주식 월급 독립 프로젝트 신작 개미 전설 유목민 차원 투자 인사이트 원 억 월급 독립 그로 억 수익 인증 억 퇴사 단타 투자자 험담 즉시 월급 독립 프로젝트 유목민 신작 주식 관점 제시 평가 개미 투자자 현실 입문 그로 지난 자산 억 원 투자 방식 포트폴리오 다변 투자자 로서 넥스트 레벨 진입 결과물 주식 방법 남 비교 노력 유목민 꼽는 제 조건,경제 경영,22.0,"[(22, 0.49891048669815063), (23, 0.19340944290161133), (21, 0.07244861125946045), (13, 0.0723705142736435)]",투자 돈 부동산 주식 부자,"{22: 0.49891048669815063, 23: 0.19340944290161133, 21: 0.07244861125946045, 13: 0.0723705142736435}",https://shopping-phinf.pstatic.net/main_3246578/32465783659.20221230075037.jpg,"17,820원"
75.0,41.6,9788901259727,기억의 뇌과학,리사 제노바/윤승희,웅진지식하우스,기억 망각 거의 뇌 과학자 정재승 스틸 앨리스 신경과학자 리사 제노바 불완전 경이 인간 기억 비밀 키스 기억 열 키스 기억 테러 사건 당일 어제 이유 주차 장소 자주 알츠하이머병 의심 세계 음악가 요요마 억 원 첼로 택시 까닭 훈련 기억 천재 주차 장소 지인 이름 도저히 가슴 철렁 경험 걱정 알츠하이머병 단지 주의 뿐 기억 정상 작동,인문,1.0,"[(1, 0.2862006425857544), (16, 0.26229679584503174), (15, 0.24884191155433655), (23, 0.05363788083195686)]",사진 인터뷰 배우 직접 이자,"{1: 0.2862006425857544, 16: 0.26229679584503174, 15: 0.24884191155433655, 23: 0.05363788083195686}",https://shopping-phinf.pstatic.net/main_3243830/32438301003.20221019120613.jpg,"15,300원"
17.0,22.4,9788901260679,넛지: 파이널 에디션,리처드 탈러/캐스 선스타인/이경식/최정규,리더스북,세계 넛 열풍 글로벌 밀리언셀러 넛 더욱 최종 넛 파이널 미국 처음 인간 행동 방식 선택 관점 송두리째 선택 노벨경제학상 영향력 증명 경제학 고전 더욱 선택 설계 아이디어 최신 사례 무장 채 서문 리처드 캐스 선 스타인 확 반영 내용 절반 가량,경제 경영,28.0,"[(28, 0.2724962532520294), (15, 0.20170752704143524), (23, 0.16821792721748352), (13, 0.11316921561956406)]",미국 음악 기념 클래식 올해,"{28: 0.2724962532520294, 15: 0.20170752704143524, 23: 0.16821792721748352, 13: 0.11316921561956406}",https://shopping-phinf.pstatic.net/main_3299963/32999638628.20221019120027.jpg,"19,800원"
1.0,1.1,9788901260716,역행자,자청,웅진지식하우스,오타쿠 흙 수저 억 자동 수익 실현 자본 연쇄 창업 마 라이프 해커 자청 인생 역주행 공식 대부분 사람 유전자 본성 명령 그대로 정작 채 달라 자의식 무한 합리화 스스로 얼마나 정신 심리 오류 채 쳇바퀴 돌 뿐 진짜 자유 얻지 늘 돈 평생 돈,자기계발,15.0,"[(15, 0.184783473610878), (14, 0.17215271294116974), (3, 0.14413025975227356), (9, 0.143717959523201)]",시작 이유 사실 경험 시대,"{15: 0.184783473610878, 14: 0.17215271294116974, 3: 0.14413025975227356, 9: 0.143717959523201}",https://shopping-phinf.pstatic.net/main_3255028/32550285396.20221004114149.jpg,"15,750원"
57.0,59.3,9788901263892,운명을 바꾸는 부동산 투자 수업 (11만 부 기념 바이블 에디션),부동산읽어주는남자(정태익),리더스북,부동산 투자가 운명 남 절대 부동산 투자 바이블 기념 바이블 기초 실전 합본 부동산 전문가 부동산 남자 정태익 투자 운명 부동산 투자 수업 바이블 재테크 최단 기간 돌파 기념 이번 기존 기초 실전 합본 실용 또한 양장 금 부동산 투 자서 바이블 로서 소장 가치 운명 부동산 투자 수업 초판 반년 투자 초보자 혼란 전세 월세 매매 통장 잔고 대출 당장 부동산 투자 시작 곧 집값 폭락 신문 기사 발목,경제 경영,22.0,"[(22, 0.5833176374435425), (28, 0.17088980972766876), (12, 0.06389286369085312), (23, 0.05005675554275513)]",투자 돈 부동산 주식 부자,"{22: 0.5833176374435425, 28: 0.17088980972766876, 12: 0.06389286369085312, 23: 0.05005675554275513}",https://shopping-phinf.pstatic.net/main_3479095/34790954630.20221019140026.jpg,"27,000원"
9.0,5.5,9788901264776,"우리, 편하게 말해요",이금희,웅진지식하우스,아무 제대로 준 적 여명 사람 일과 사랑 인생 레전드 방송인 아나운서 이금희 내공 태도 기술 전하 용기 선물 한지민 배우 언어 구사 도움 가이드 동시 누군가 삶 기준 박상영 소설가 방송 주재 결코 스스로 전면 우지 진행 누군가 누군가 매력 테크닉 태도 접근 독보 진행자 공 사람 이금희 앞 술술 무장해제,자기계발,21.0,"[(21, 0.30360159277915955), (15, 0.21151794493198395), (1, 0.10166732221841812), (23, 0.08114734292030334)]",사랑 마음 위로 인생 행복,"{21: 0.30360159277915955, 15: 0.21151794493198395, 1: 0.10166732221841812, 23: 0.08114734292030334}",https://shopping-phinf.pstatic.net/main_3521245/35212450633.20221019131422.jpg,"15,300원"
12.0,8.0,9788901265506,나의 월급 독립 프로젝트 (리마스터 에디션),유목민,리더스북,땅 월급 노예 단타 초보 개미 관점 투자 입문 월급 독립 프로젝트 기념 증보 본격 차트 스터디 차트 신규 수록 억 퇴사 단타 투자자 험담 즉시 월급 독립 프로젝트 주식 관점 제시 평가 개미 투자자 현실 입문 직장인 단타 바이블 추앙 버전 증보 초판 분량 쪽 가량 추가 최신 차트 종목 공부 파트 차트 신규 수록,경제 경영,22.0,"[(22, 0.43308135867118835), (28, 0.28451600670814514), (23, 0.11767426133155823), (12, 0.07829105108976364)]",투자 돈 부동산 주식 부자,"{22: 0.43308135867118835, 28: 0.28451600670814514, 23: 0.11767426133155823, 12: 0.07829105108976364}",https://shopping-phinf.pstatic.net/main_3537187/35371870802.20221027194758.jpg,"17,820원"
9.0,9.5,9788901266091,스틱!,칩 히스/댄 히스/박슬라/안진환,웅진지식하우스,뉴욕타임스 월스트리트저널 비즈니스위크 자청 홍 성태 교수 전우성 브랜드 보이 강력 추천 세계 마케팅 업계 필 독서 비즈니스 명저 수식 필요,경제 경영,28.0,"[(28, 0.26755788922309875), (14, 0.21134310960769653), (15, 0.1825256645679474), (18, 0.15815718472003937)]",미국 음악 기념 클래식 올해,"{28: 0.26755788922309875, 14: 0.21134310960769653, 15: 0.1825256645679474, 18: 0.15815718472003937}",https://shopping-phinf.pstatic.net/main_3523043/35230439624.20221027194712.jpg,"17,100원"
9.0,9.5,9788901266091,스틱!,칩 히스/댄 히스/박슬라/안진환,웅진지식하우스,뉴욕타임스 월스트리트저널 비즈니스위크 자청 홍 성태 교수 전우성 브랜드 보이 강력 추천 세계 마케팅 업계 필 독서 비즈니스 명저 수식 필요,경제 경영,28.0,"[(28, 0.26755788922309875), (14, 0.21134310960769653), (15, 0.1825256645679474), (18, 0.15815718472003937)]",미국 음악 기념 클래식 올해,"{28: 0.26755788922309875, 14: 0.21134310960769653, 15: 0.1825256645679474, 18: 0.15815718472003937}",https://shopping-phinf.pstatic.net/main_3523043/35230439624.20221027194712.jpg,"17,100원"
33.0,22.5,9788901266107,자이언트 임팩트,박종훈,웅진지식하우스,경제 고수 먼저 경제 전문가 박종훈 기자 신작 연 자이언트 스텝 인플레 충격 환율 급등 러시아 도발 미국 패권 전례 경제 충격 충돌 세계 부의 질서 재 세계 질서 러시아 우크라이나 침공 탈세 화가 인플레이션 지난 금리 하락 인플레이션 감축 통과 칩 동맹 반도체 강국 전략 재생 에너지 전환 선진국 각자 도생 세계 미국 러시아 중국 유럽 중동 세계 패권 향 방이 예측 혼돈 시기,경제 경영,25.0,"[(25, 0.3923831582069397), (22, 0.31339842081069946), (13, 0.08225513249635696), (23, 0.044218678027391434)]",인류 전쟁 위기 중국 세계사,"{25: 0.3923831582069397, 22: 0.31339842081069946, 13: 0.08225513249635696, 23: 0.044218678027391434}",https://shopping-phinf.pstatic.net/main_3527659/35276590625.20221027194805.jpg,"17,820원"
25.0,25.0,9788901266350,보이지 않아도 존재하고 있습니다,김범준,웅진지식하우스,원자 별 먼지 인 인간 과학 이름 빛 경이 물정 물리학 과학 김범준 과학 언어 편의 삶 송가 국립과천과학관 이정모 소설가 곽재식 수학자 김민형 우주물리학 황정 추천 상대성이론 엔트로피 양자역학 과학 지식 편의 음미 물정 물리학자 이자 과학 커뮤 케이 터 김범준 신작 보이지 존재 물리학자 인간 삶 보석 과학 발견 물정 물리학 과학 이름 김범준 각별 더욱 눈길,자연과학,16.0,"[(16, 0.5542945861816406), (21, 0.20375771820545197), (1, 0.04623536020517349), (10, 0.02434208057820797)]",과학 뇌 우주 인간 연구,"{16: 0.5542945861816406, 21: 0.20375771820545197, 1: 0.04623536020517349, 10: 0.02434208057820797}",https://shopping-phinf.pstatic.net/main_3574626/35746267621.20221122192051.jpg,"16,200원"
4.0,4.0,9788901266411,너를 빛나게 할 일들이 기다리고 있어,황현,웅진지식하우스,김이나 미미 마이걸 적재 강력 추천 오늘이 버거운 위로 샤이니 방백 앤 오프 사랑 작곡가 황현 작곡 작사 노래 케이팝 신 한가운데 활동 베토벤 황버 수식어 말로 소개 사람 와중 로움 안간힘 사람 사랑 끝 고민 사람 편이 더욱 각자 모습,에세이,21.0,"[(21, 0.541706383228302), (28, 0.1962110847234726), (15, 0.1719476729631424), (23, 0.010142164304852486)]",사랑 마음 위로 인생 행복,"{21: 0.541706383228302, 28: 0.1962110847234726, 15: 0.1719476729631424, 23: 0.010142164304852486}",https://shopping-phinf.pstatic.net/main_3575585/35755853625.20221129163536.jpg,"15,300원"
34.0,34.0,9788901266503,일놀놀일,김규림/이승희,웅진지식하우스,워 밸 놀놀일 일도 행동 일과 삶 대하 요즘 마케터 마케터 김규림 이승희 공저 놀놀일 놀놀일 사람 깨달 태도 함축 회사 동료 친구 사람 몰입 경험 대하 태도 일과 경계 삶 기쁨 더욱 즐거움 동경 영감 소스 생산 연결 영감 영향,자기계발,21.0,"[(21, 0.2810249924659729), (3, 0.2420690953731537), (12, 0.17671547830104828), (15, 0.12012526392936707)]",사랑 마음 위로 인생 행복,"{21: 0.2810249924659729, 3: 0.2420690953731537, 12: 0.17671547830104828, 15: 0.12012526392936707}",https://shopping-phinf.pstatic.net/main_3572557/35725573626.20221114104025.jpg,"15,300원"
5.0,8.1,9788903411116,스즈키 바이올린 교본 1,편집부,세광음악출판사,스즈키 교육 경험 엮 어진 교본 국내외 막론 높이 평가 바이올린 교본 도법 주법 설명 악기 자세 기초 내용 포지션 내용 수록,예술,12.0,"[(12, 0.24324139952659607), (1, 0.2396240234375), (2, 0.2371874749660492), (23, 0.10664293169975281)]",설명 학습 내용 구성 이해,"{12: 0.24324139952659607, 1: 0.2396240234375, 2: 0.2371874749660492, 23: 0.10664293169975281}",https://shopping-phinf.pstatic.net/main_3247334/32473349026.20221019142548.jpg,"10,800원"
14.0,13.0,9788903411123,스즈키 바이올린 교본 2,편집부,세광음악출판사,스즈키 교육 경험 엮 어진 교본 국내외 막론 높이 평가 바이올린 교본 도법 주법 설명 첨부 혼자 연습 배려,예술,2.0,"[(2, 0.34766194224357605), (23, 0.1612900197505951), (1, 0.152694970369339), (12, 0.10711001604795456)]",교육 교사 아이 수업 학교,"{2: 0.34766194224357605, 23: 0.1612900197505951, 1: 0.152694970369339, 12: 0.10711001604795456}",https://shopping-phinf.pstatic.net/main_3244100/32441009212.20221019132354.jpg,"10,800원"
19.0,20.5,9788903411130,스즈키 바이올린 교본 3,편집부 저,세광음악출판사,신이치 스즈키 박사 원본 방법 이용 국제 스즈키 바이올린 위원회 지속 협력 편찬 피아노 주책 음반 첨부 사용 더욱,예술,23.0,"[(23, 0.27974018454551697), (2, 0.2649320662021637), (12, 0.14222639799118042), (15, 0.09925764799118042)]",변화 방법 미래 제시 기술,"{23: 0.27974018454551697, 2: 0.2649320662021637, 12: 0.14222639799118042, 15: 0.09925764799118042}",https://shopping-phinf.pstatic.net/main_3246284/32462847886.20221019143232.jpg,"10,800원"
25.0,26.8,9788903411147,스즈키 바이올린 교본 4,편집부 저,세광음악출판사,첨부 바이올린 실습 교재 감상 용 연습 용 녹음 교재 로만 학습 학습 효과 기초 트릴 연습 연습곡 바이올린 초보자 학습 교재,예술,12.0,"[(12, 0.5663933753967285), (2, 0.30280372500419617), (15, 0.022096112370491028), (23, 0.01145079080015421)]",설명 학습 내용 구성 이해,"{12: 0.5663933753967285, 2: 0.30280372500419617, 15: 0.022096112370491028, 23: 0.01145079080015421}",https://shopping-phinf.pstatic.net/main_3246341/32463418750.20221230074127.jpg,"10,800원"
60.0,57.1,9788903411154,스즈키 바이올린 교본 5,편집부 저,세광음악출판사,첨부 바이올린 실습 교재 감상 용 연습 용 녹음 교재 로만 학습 학습 효과 기초 트릴 연습 연습곡 바이올린 초보자 학습 교재,예술,12.0,"[(12, 0.5233839750289917), (2, 0.34581315517425537), (15, 0.022096112370491028), (23, 0.01145079080015421)]",설명 학습 내용 구성 이해,"{12: 0.5233839750289917, 2: 0.34581315517425537, 15: 0.022096112370491028, 23: 0.01145079080015421}",https://shopping-phinf.pstatic.net/main_3244163/32441632481.20221019143443.jpg,"10,800원"
