,순위,mean,ISBN,상품명,저자,출판사,설명,관리분류,top_topic,topic_dist,topic_words
10,25.0,27.6,9788901121390,기분을 말해 봐!,홍연미/앤서니 브라운,웅진주니어,의사소통 아이 꼭 감정 앤서니 브라운 체 아이 기분 표현 유아기 성장 폭발 정도 방면 성장 신체 발달 감정 표현 시작 정서 발달,유아,9,"[(9, 0.3784920275211334), (4, 0.32848232984542847), (5, 0.1776273399591446), (2, 0.04710058495402336)]",시작 방법 처음 생활 마음
11,37.0,39.5,9788901149363,문재인이 드립니다,문재인,리더스북,청춘 과거 생존 기성세대 풍요 자유 몇몇 몫일 대다수 청춘 과거 세대 대권 출마 선언 정치인 인생 선배 문재인 현실 좌절 땅 청춘 위로 희망 편지 내일 격려 삶 추구 조언 유년 시절 어머니 연탄배달 도 만큼 인권 변호사 현실 괴리 갈등 대권 주자 이기 학벌 돈 시련 꿈 힘,에세이,5,"[(5, 0.6347354650497437), (3, 0.15976348519325256), (11, 0.11711275577545166), (2, 0.04839692637324333)]",인생 마음 감정 위로 경험
12,73.0,73.0,9788901163673,바른 마음,조너선 하이트/왕수민,웅진지식하우스,경제 위기 정치 양극화 집단 간의 갈등 음 음 싸움 내면 도덕 힘 분석 뉴욕타임스 워싱턴포스트 월스트리트 널 가디언 퍼블리셔 클리 언론 격찬 노무현 지지자 박정희 지지자 통 기초 노령 연금 갈등 새누리당 플래카드 카피 어르신 사람 호소 이유 길 학생 노인 반말 모습 기분 스포츠 경기 새벽 응원 팀 성과 사생활 포기 원동력 정치 성향 종교 믿음 사회 가치 존재,인문,5,"[(5, 0.30508920550346375), (11, 0.1905507594347), (3, 0.17022515833377838), (2, 0.11473382264375687)]",인생 마음 감정 위로 경험
13,65.0,52.3,9788901214924,한 권으로 읽는 조선왕조실록,박영규,웅진지식하우스,쇄 돌파 역사 전하 제대로 선사 전면 조선왕조 조선왕조 지난 쇄 돌파 부라 지난 훌쩍 역사 밀리언셀러 더욱 자리 문화유산 역사 조선왕조 정리 조선왕조 역사 막 시작 전면 조선왕조 구판 의견 반영 부분 보완 더욱 완성,역사,2,"[(2, 0.4400744140148163), (12, 0.1469166874885559), (3, 0.14011065661907196), (9, 0.11872255057096481)]",드라마 미국 만화 아마존 기념
14,71.0,71.0,9788901219943,신경 끄기의 기술,마크 맨슨/한재호,갤리온,현재 미국 주목 인 플루 마크 맨슨 신경 기술 기존 자기계발 패러다임 무조건 노력 인생 앞뒤 긍정 오히려 독 때론 포기 신경 인생 발견,자기계발,5,"[(5, 0.287309855222702), (10, 0.23790723085403442), (11, 0.20358584821224213), (2, 0.08413198590278625)]",인생 마음 감정 위로 경험
15,76.0,76.0,9788901222660,백만장자 메신저,브렌든 버처드/위선주,리더스북,구 복사 실제 중고서점 거래 요청 재 백만장자 메신저 원제 그대로 메신저 제목 절판 뒤 사람 사이 입 소문 인 기업가 필수 교과서 수십 거래 항의 요청 재고 파주 테 출판사 거래 거 좀 해결 신고 불법 제본 업체 전화 테 복사 당시 온라인 중고서점 거래 얘기,자기계발,2,"[(2, 0.2846776247024536), (9, 0.26586368680000305), (3, 0.1672409176826477), (10, 0.11985987424850464)]",드라마 미국 만화 아마존 기념
16,68.0,68.0,9788901227542,넛지,리처드 탈러/캐스 R. 선스타인/안진환/최정규,리더스북,무심코 운명 결정 주식 투자 연금 저축 교육 결혼 심지어 화장실 변기 유도 설계 기술 학계 이단 노벨경제학상 수상자 리처드 히스토리 곧 행동 경제학,경제 경영,12,"[(12, 0.19340729713439941), (11, 0.1864628791809082), (6, 0.17918822169303894), (5, 0.10527422279119492)]",철학 의미 이해 교수 통찰
17,69.0,62.0,9788901227580,비커밍 Becoming,미셸 오바마/김명남,웅진지식하우스,세계 언어 동시 예약 아마존 오른 화 제작 역대 대통령 부부 자서전 사상 액 판권 예약 아마존 세계 화 제작 비 커밍 미국 세계 언어 동시 미국 흑인 퍼스트레이디 미셸 오바마 처음 자서전 그녀 시절 가족 학창 시절 법률 회사 오바마 결혼 과정 미국 세계 주목 여성 롤모델 거듭 나기 스토리 시카고 변두리 여성 약자 아이콘 미셸 포기 성장 스토리 현실 희망 용기,인문,2,"[(2, 0.401247501373291), (5, 0.28395095467567444), (12, 0.23204681277275085), (3, 0.0371815450489521)]",드라마 미국 만화 아마존 기념
18,75.0,75.0,9788901229614,초예측,정현옥/오노 가즈모토/유발 하라리/재레드 다이아몬드/닉 보스트롬/린다 그래튼/다니엘 코엔/조앤 윌리엄스/넬 어빈 페인터/윌리엄 페리,웅진지식하우스,문명 분기점 미래 위험 예지 세계 학 통찰 인류 운명 좌우 변화 가속 기계 지능 지능 압도 생명공학 진화 법칙 초월 대부분 존재 가치 무용 계급 전락 우려 현실 기대 수명 기하 급수 준 과학기술 교육 은퇴 삶 단계 해체 백 지속 생애 공식 파괴 변화 부와 권력 소수 더욱 집중 경쟁 낙오 사람 좌절 분노 약자 혐오 기득권 증오 민주주의 불신 확대 세기 진보 평화 뿌리 현대 문명 정점 지난 사피 내일 붕괴 징후 곳곳 이례 분기점 기적 전망 미래 문명 사적 방향 감각 절실,사회 정치,11,"[(11, 0.4853074848651886), (12, 0.2006533443927765), (7, 0.105321004986763), (5, 0.0963495671749115)]",사회 미래 변화 위기 코로나
19,45.0,59.3,9788901230658,시작의 기술,개리 비숍/이지연,웅진지식하우스,반복 습관 연습 전문가 이론 처음 시작 야심 도루묵 가슴 정말 방법 새해 매달 다음 주 내일 결심 제대로 시작 후회 간다 시작 기술 개리 비숍 처음 시작 사람 스스로 부정 독백 잠재력 단언 준비 당장 행동 시작 스스로 과정 꼭 무기 뒤통수 탁 깨달음 설득 소개,자기계발,9,"[(9, 0.3969830274581909), (5, 0.3519858121871948), (6, 0.09314285963773727), (0, 0.07173854857683182)]",시작 방법 처음 생활 마음
20,59.0,56.5,9788901230801,나의 월급 독립 프로젝트,유목민,리더스북,종잣돈 만원 시작 억 수익 일개미 슈퍼 개미 수익률 실제 계좌 수익 인증 월급 독립 프로젝트 야근 직장인 주식 투자 억 수익 월급 독립 과정 거기 투자 원칙 결혼 변 전세 금도 마련 축의금 여윳돈 본격 투자 시작 수익률 본인 주위 사람 게다가 단타 수익 사면 팔면 직장인 조언 장기 투자 최대 승부 낼 종목,경제 경영,6,"[(6, 0.7307654619216919), (9, 0.0859600082039833), (5, 0.06688285619020462), (11, 0.044128015637397766)]",투자 돈 부동산 부자 주식
21,76.0,76.0,9788901231358,우리 아빠,공경희/앤서니 브라운,웅진주니어,규범 감동 국내 앤서니 브라운 아빠 앤서니 브라운 그림책 아빠 영국 처음 며 아버지 아이 육아 성장 관여 보기 작품 페이지 평가 작품 이듬해 국내 전집 단행본 아빠 킨더 랜드 소개 바 아빠 전인 일찍이 돼지 페미니즘 사유 적 앤서니 브라운 아빠 직후 영국 가디언 인터뷰 아주 고민 다음 아버지 긍정 아주 방법,유아,4,"[(4, 0.33730408549308777), (15, 0.244587242603302), (2, 0.17056626081466675), (9, 0.15560390055179596)]",아이 엄마 그림책 시인 마음
22,47.0,23.1,9788901232232,팥빙수의 전설,이지은,웅진주니어,무더위 즐거움 그림책 팥빙수 전설 여름날 음식 팥빙수 뚱 상상 그림책 산속 할머니 혼자 농사 과일 달달 팥죽 완성 시장 할머니 길 길 갑자기 펑펑 호랑이 호랑이 가관 거 할머니 정성 스레 딸기 참외 수박 차례차례 호랑이 콤 딸기 맛 함박 웃음 참외 춤 수박 허겁지겁 호랑이 욕심 끝,유아,4,"[(4, 0.7370139956474304), (13, 0.12472415715456009), (9, 0.0415780246257782), (6, 0.032791636884212494)]",아이 엄마 그림책 시인 마음
23,27.0,29.0,9788901237336,[예스리커버] 낙엽 스낵,백유연,웅진주니어,낙엽 우수수 가을 가을 꼭 간식,유아,9,"[(9, 0.23742027580738068), (15, 0.19926223158836365), (13, 0.18884488940238953), (12, 0.06918337196111679)]",시작 방법 처음 생활 마음
24,69.0,53.5,9788901241371,[예스리커버] 벚꽃 팝콘,백유연,웅진주니어,초록 잎 둘 고개 봄날 겨울잠 동물 친구 무언가 준비,유아,4,"[(4, 0.38427257537841797), (9, 0.3131641745567322), (5, 0.1298069953918457), (12, 0.03695168346166611)]",아이 엄마 그림책 시인 마음
25,68.0,72.5,9788901241739,이윤기의 그리스 로마 신화 (특별 합본판),이윤기,웅진지식하우스,세기 한국인 교양 지도 이윤기 그리스 로마 신화 이윤기 타계 주기 특별 합본 그리스 로마 신화 열풍 주역 국민 신화 인 이윤기 그리스 로마 신화 기념 이윤기 선생 타계 주기 리기 다섯 시리즈 특별 합본 장정 특별판 시리즈 다섯 텍스트 가감 기존 선별 추가 도판 자료 쪽 양장본 재탄생 우리네 정서 현대 감각 매력 이윤 기표 신화 세계 처음 볼 소장 기쁨 지적 활 선사 선물,소설/시/희곡,2,"[(2, 0.3320298194885254), (3, 0.2493993639945984), (12, 0.23705008625984192), (13, 0.10015273839235306)]",드라마 미국 만화 아마존 기념
26,33.0,23.8,9788901243658,기분이 태도가 되지 않게,박영란/레몬심리,갤리온,회사 인간관계 후회 오해 기분 용법 사무실 분위기 크게 좌우 사람 출근 면서 경고 온몸 직원 슬금슬금 눈치 보고 사람 기분 사무실 탕 냉탕 간다 선 감정 추 스르 기분 민폐 사람 마음 걸 밖 감정 도리 프로 다운 모습 일터 감정 기복 그대로 스스로 손해 볼 회사 가족 친구 기분 티 사람 질리 후회 기분 기어이 태도 마는 사람,자기계발,9,"[(9, 0.45885351300239563), (5, 0.3363918364048004), (11, 0.10749999433755875), (4, 0.06410730630159378)]",시작 방법 처음 생활 마음
27,20.0,44.0,9788901246086,2030 축의 전환,마우로 기옌/우진하,리더스북,변화 코로나 세계 질적 전환 맞이 세계 경영 학 마우로 기옌 스쿨 교수 경제학 지정학 사회학 파격 통찰 세계 리더 충격 차 산업혁명 다음 혁명 나라 출생률 감소 인구 고령화 코로나 양상 진행 디지털 밀레 얼 세대 세계 소비자 집단 실버 세대 사이 기회 규모 수가 늘 도시 기후변화 양극화 극복 축의 전환 부와 힘 탄생 물결 현재 진행 중인 추세 수렴 전망,경제 경영,11,"[(11, 0.6143434643745422), (12, 0.07888748496770859), (5, 0.07882542908191681), (9, 0.07824812829494476)]",사회 미래 변화 위기 코로나
28,47.0,47.0,9788901247656,사탕 트리,백유연,웅진주니어,찬 바람 불기 시작 동물 친구 겨울 준비 크리스마스트리 솔방울 나뭇잎 도토리 장식 여기 고라니 아주 선물 준비 크리스마스 아침,유아,4,"[(4, 0.4855363070964813), (9, 0.32039666175842285), (2, 0.06962031871080399), (12, 0.023701177909970284)]",아이 엄마 그림책 시인 마음
29,28.0,49.5,9788901248202,그 많던 싱아는 누가 다 먹었을까,박완서,웅진지식하우스,박완서 타계 주기 정 연작 자전소설 박완서 문학 거목 박완서 곁 꼬박 타계 주기 기리 박완서 문학 정수 연작 자전소설 옷 생전 싱아 누가 산이 정말 거기 훌쩍 소설 테디 고등학생 필독 서로 남녀 노소 작품 애정 돌파 경이 세운 결코 마 모되 문학 세계 완성 고 박완서 형상 생명력 자연 모티프 재탄생,소설/시/희곡,15,"[(15, 0.5060375332832336), (5, 0.18352745473384857), (2, 0.15667080879211426), (12, 0.0524044930934906)]",소설 작품 영화 문학 감독
30,44.0,44.0,9788901248752,절대 배신하지 않는 공부의 기술,이상욱,웅진지식하우스,화제 영상 공부 의사 유튜브 구독 자수 누적 회수 랜선 공부 멘토 긍정 에너지 토리 공부 공부 의사 영상 단숨 랜선 공부 멘토 극한 공부 현직 의사 긍정 에너지 토리 공부 경험 바탕 공부 습관 각종 시험 대비 공부 집약 번의 입시 실패 불구 피나 노력 의사 꿈 스스로 갈고 공부 기술 공부 노력 합격 노력 목표 공부 습관 목표 목표 공부 습관 반드시 합격,자기계발,8,"[(8, 0.42077675461769104), (5, 0.24565522372722626), (10, 0.19663484394550323), (11, 0.07850350439548492)]",교육 아이 교사 공부 수업
31,45.0,21.1,9788901248882,"우연히, 웨스 앤더슨",월리 코발 /김희진,웅진지식하우스,웨스 앤더슨 월드 안내 초감각 렌즈 초대장 오감 충족 대리 만족 구석 세계 여행 카이 빙 작전 세계 인스타그램 트렌드 주목 계정 내용 엮 월리 코발 도 웨스 앤더슨 영화 장소 사진 보고 영감 채널 코로나 이슈 여행 사람 대리 만족 참여 유도 현재 로어 일주일 실시간 늘 웨스 앤더슨 감독 작품 한눈 색감 미학 감수성 장르 예술 디자인 인테리어 영향 웨스 앤더슨 터치 세계 발견 프로젝트 여행 초대장,예술,14,"[(14, 0.2180880755186081), (11, 0.18210744857788086), (1, 0.15922705829143524), (10, 0.12067042291164398)]",여행 정보 여행지 제주 가이드북
32,15.0,44.7,9788901249599,질서 너머,조던 B. 피터슨/김한영,웅진지식하우스,탓 정리 하라 어깨 똑바로 명징 조언 인생 법칙 세계 하버드대 심리학 교수 조던 피터슨 신작 질서 너머 전작 글로벌 피터 슨 현상 위로 대신 현실 냉엄 함 인생 의미 책임 짊어 어른 고 주문 메시지 세계 젊은이 인생 표류 허무 주의 청년 법칙 삶 진실 해독제 제공 그로 인생 송두리째 고백,인문,5,"[(5, 0.45778101682662964), (12, 0.2866668701171875), (11, 0.17629624903202057), (9, 0.029122108593583107)]",인생 마음 감정 위로 경험
33,32.0,55.5,9788901250014,강원국의 어른답게 말합니다,강원국,웅진지식하우스,삶 존중 존중 빚 힘 움 완성 강원 국 신작 전직 대통령 설비 서관 특강 라디오 강원 국 공식 대통령 글쓰기 강원 국 삶 품격 관해 대기업 회장 대통령 말로 진심 고민 기본 착 삶 삶 관해 공부 수업 사람 움 도구 나은 삶 살기 어른 다운 무기,자기계발,5,"[(5, 0.3622531294822693), (3, 0.23020552098751068), (10, 0.10374145209789276), (8, 0.10267136245965958)]",인생 마음 감정 위로 경험
34,18.0,18.0,9788901251226,친구의 전설,이지은,웅진주니어,팥빙수 전설 치명 전설 팥빙수 전설 여름 겨울 팥빙수 열풍 이지은 전설 문 거 한마디 위협 던 호랑이 시종일관 길 재촉 할머니 케미 소식 갑자기 몸 누군가 무조건 둘 기분 친구 전설 동네 성격 호랑이 호랑이 꼬리 운명 꼬리 꽃 거 동네 구석구석 돌 괜 위협 말썽 일삼 호랑이 호랑이 이웃 으레 자리 피 호랑이 늘 뒷모습 표정,유아,4,"[(4, 0.5543636679649353), (5, 0.22457362711429596), (9, 0.16480538249015808), (11, 0.024416668340563774)]",아이 엄마 그림책 시인 마음
35,23.0,23.0,9788901251509,엄마 도감,권정민,웅진주니어,아기 시점 엄마 연구 엄마 도감 생명 잉태 엄마 관찰 시작 모자 수첩 생명 변화 절대 엄마 세심 함 가득 생김새 상해 출력 사진 키 몸무게 변화 추이 움직임 심장 소리 아이 엄마 시선 엄마 도감 관찰 관심 대상 변환 아이 시선 엄마 관찰 그림책 아이 출생 동시 여자도 엄마 아무 소외 엄마 출생 엄마 도감,유아,4,"[(4, 0.4856567084789276), (11, 0.19791756570339203), (9, 0.1616196483373642), (5, 0.08492030948400497)]",아이 엄마 그림책 시인 마음
36,65.0,41.7,9788901251868,약속의 땅,버락 오바마/노승영,웅진지식하우스,역대 대통령 회고록 최 선인 첫날 예약판매 즉시 아마존 종합 언어 계약 여러 세계 화 제작 미국 대통령 버락 오바마 회고록 약속 땅 한국어 미국 흑인 대통령 백악관 입성 과정 임기 반 분투 사실,사회 정치,2,"[(2, 0.35184767842292786), (3, 0.2567288875579834), (12, 0.17006616294384003), (5, 0.0754159688949585)]",드라마 미국 만화 아마존 기념
37,80.0,80.0,9788901252148,내 안의 어린아이가 울고 있다,니콜 르페라 /이미정 /유은정,웅진지식하우스,외로움 우울 감 인간관계 되풀이 사람 마음 치유 트라우마 즉시 미국 아마존 뉴욕타임스 화 제작 기억 저편 상처 로부터 몸 마음 영혼 구 대낮 영혼 어 두운 밤 사람 성적 우울 감 무력감 외로움 대부분 대인관계 일상생활 반복 패턴 어려움 연인 싸움 시작 감정 제어 사람 몸 신체 혐오 사람 사람 일방 희생 사람 양상 임상심리학 연구 심리상담 병행 니콜 르페 박사 상황 공통점,인문,5,"[(5, 0.6959163546562195), (2, 0.11473382264375687), (11, 0.09749668091535568), (12, 0.06321298331022263)]",인생 마음 감정 위로 경험
38,70.0,72.3,9788901253060,너의 말이 좋아서 밑줄을 그었다 (리커버 에디션),림태주,웅진지식하우스,언어 사이 진심 삶 마음 사이 보통 언어 대하 온도 언어 수백만 언어 사이 시인 인생 사람 선 언어 그을 일이 밑줄 언어 언어 환상 좇았는 빛 시인 언어 언어 누군가 어 두운 마음 상대 마음 비로소 피어 사실 언어,에세이,4,"[(4, 0.44211509823799133), (5, 0.39742422103881836), (9, 0.060955487191677094), (12, 0.03605715185403824)]",아이 엄마 그림책 시인 마음
39,54.0,54.0,9788901253671,혼자 공부하는 시간의 힘,책 읽는 원숭이/정현옥,웅진지식하우스,돌파 일본 아마존 기노쿠니야 인문 대상 도쿄대 교토대 학내 서점 뷰 공부 멘토 긍정 에너지 토리 추천 철학 삶 무기 야마구치 슈 추천 스스로 공부 힘 삶 돌파 무기 목표 설정 커리큘럼 노트 정리 기법 공부 나침반 목표 주제 불문 공부 스스로 정 실행 기간 독학 철학 역사 사회과학 수학 어학 학문 지식 저변 확장 학습 방법 집대성 외국어 수험 자격증 준비 목표 공부 공부 공부 방황 사람 팁,자기계발,8,"[(8, 0.20222525298595428), (12, 0.17405307292938232), (10, 0.13597148656845093), (2, 0.11995039135217667)]",교육 아이 교사 공부 수업
40,20.0,20.0,9788901254296,우리는 약속도 없이 사랑을 하고,정현우,웅진지식하우스,약속 슬픔 온기 자주 사람 최선 약속 천사 문단 주목 몸 시인 정현우 산문 마음 찾기 과거 거슬러 식물 아버지 옆 슬픔 감당 엄마 할머니 친구 고양이 묘묘 유통 기한 쉬이 외 상실 슬픔 헤적일 소년 시선 상실 때로는 편의 시 때로는 소설,에세이,4,"[(4, 0.4695079028606415), (5, 0.18150541186332703), (9, 0.1316143125295639), (11, 0.10406290739774704)]",아이 엄마 그림책 시인 마음
41,19.0,35.0,9788901254456,우리의 인생이 겨울을 지날 때,캐서린 메이/이유진,웅진지식하우스,지혜 겨울 봄 맞이 최인 최인 책방 위로 고독 겨울 계절 지혜 윈터 링 겨울 초입 선 도착 치료 가디언 언어 풍경 감각 움 잠재 힘 포착 월스트리트저널 극찬 인생 겨울 캐서린 메이 인디언 서머 시즌 이듬해 겨울 회고록 마흔 생일 코앞 그녀 남편 맹장염 건강 실직 아들 등교 거부 연거푸 시련 마주,에세이,5,"[(5, 0.47824862599372864), (4, 0.36045822501182556), (2, 0.0931074395775795), (9, 0.030424173921346664)]",인생 마음 감정 위로 경험
42,12.0,42.8,9788901254517,고립의 시대,노리나 허츠/홍정인,웅진지식하우스,애덤 그랜트 아리아나 허핑턴 추천 와이어 드 일리 텔레 그래프 홀로 생쥐 친구 생쥐 고립 생쥐 침입 공격 세계 정치 경제학자 노리 허츠 스마트폰 도시 비대 시스템 감시 노동 세기 현대인 소통 본능 생쥐 처럼 서로 공격 외로움 고립 개인 사회 소외 배제 양극화 정치 주의 내몬다 외로움 사회 경제 비용 밀도 분석 영국 당시 언론 찬사 고립 투표 소통 방식 무너 고립 사회 근원,사회 정치,11,"[(11, 0.4528568685054779), (12, 0.18654517829418182), (2, 0.1285594403743744), (5, 0.09676837921142578)]",사회 미래 변화 위기 코로나
43,27.0,25.5,9788901254531,움직임의 뇌과학,캐럴라인 윌리엄스/이영래,갤리온,산책 뒤죽박죽 아이디어 몇 정리 어째서 요가 종일 머리 걱정거리 거리 부엌 음악 몸 기분 이유 뇌 과학 진화생물학 몸 과학자 신체 움직임 정신 영향 방식 연구 시작 발견 사실 과학 판도 만큼 건강 행복 뉴 티스 트 과학 저널리스트 캐럴 라인 윌리엄스 움직임 뇌 과학 움직임 정신 영향 탐구 연구 소개 과학자 몸 정신 연결 실제 증명 인물 발 인터뷰 공 조사 설득 언어 몸 증명 충만 삶,인문,7,"[(7, 0.2521919012069702), (12, 0.22731541097164154), (9, 0.1972612738609314), (5, 0.1239161565899849)]",과학 수학 뇌 지능 지식
44,45.0,45.0,9788901254715,팬데믹 머니,KBS 다큐 인사이트 〈팬데믹 머니〉 제작팀/이윤정 /유수진 /김진일,리더스북,벼락 거지 국내외 경제 전문가 인 진단 부의 변동 주목 수신료 가치 증명 명품 다큐 시청자 호평 화제 다큐멘터리 팬데믹 차 세계대전 최악 실물 경제 최대 호황 맞이 자산 시장 교차 모순 현실 발생 구 팬데믹 진 러미 리프킨 제이슨 솅커 오건 영 박종훈 국내외 경제 전문가 달러 기축통화 작동 방식 돈 거품 부채 경제 위기 과정 깊이 추적 팬데믹 감염 경제 돈 역습 대비 방송 미처 전문가 대담,경제 경영,6,"[(6, 0.2811250686645508), (11, 0.2509165108203888), (2, 0.20030397176742554), (12, 0.13825570046901703)]",투자 돈 부동산 부자 주식
45,11.0,38.3,9788901255347,42가지 사건으로 보는 투기의 세계사,토르스텐 데닌/이미정,웅진지식하우스,유럽 천연가스 값 퍼센트 폭등 경신 퍼센트 가까이 급등 가격 폭등 원인 우크라이나 서방 충돌 러시아 지난 유럽 가스 가스 공급 중단 유럽 천연가스 퍼센트 러시아 공급 만큼 시장 영향 천연가스 아연 알루미늄 희토류 공급 차질 누적 원자재 값 폭등 이로 국가 경제 개인 자산 손실 상품 가격 롤러코스터 처음 신간 사건 투기 세계사 원제 세기 튤립 파동 세기 비트코인 열풍 세계 뒤 상품 시장 역사 사건 소개,역사,6,"[(6, 0.4772129952907562), (3, 0.30223703384399414), (12, 0.13037697970867157), (2, 0.03816000372171402)]",투자 돈 부동산 부자 주식
46,80.0,80.0,9788901255439,리더가 다 잘할 필요는 없다,클리퍼드 허드슨 저/박선령 역,갤리온,리더 아주 재능 리더 방법 통제 포기 미국 프랜차이즈 소닉 동력 조직 리더 숙련 기술 사람 자리 팀 리더 리더 이유 사람 능가 능력 분투 과거 경험 데이터 수준 실력 보유 리더 정해진 절차 요즘 항상 조직 리더 사람 리더십 고민 비단 얘기 리더 꼭 필요,자기계발,10,"[(10, 0.4942847788333893), (9, 0.21906057000160217), (5, 0.07940416038036346), (0, 0.07341734319925308)]",유튜브 음악 기업 채널 클래식
